# istep time/bperiod 
1 0.0 
130 0.0433985192192 
307 0.0868731208947 
484 0.130022638887 
665 0.173472221605 
848 0.216766091388 
1032 0.260223213017 
1213 0.303406121253 
1392 0.346880263759 
1568 0.390209214321 
1743 0.433557780345 
1917 0.476895496946 
2092 0.520206017172 
2270 0.563629659391 
2501 0.606852170664 
2775 0.650198051647 
3106 0.693427214721 
3433 0.736878017492 
3794 0.780130001111 
4128 0.82347794704 
4394 0.8668009782 
4742 0.910112372673 
5077 0.953507057484 
5540 0.996824043333 
5863 1.04029969202 
6221 1.08351383753 
6706 1.12683425551 
7283 1.17030388145 
7557 1.21358874767 
7982 1.25685836713 
8415 1.30019747968 
10221 1.34348374691 
10923 1.38683450279 
11572 1.43016602701 
12112 1.47353432019 
12571 1.51688684188 
13182 1.56025320938 
13631 1.60362416304 
14229 1.64685077697 
14752 1.69018952434 
15316 1.73360189807 
